Top_counterScore,Jug_counterScore,Mid_counterScore,Bot_counterScore,Uti_counterScore,Team1_Top_attackScore,Team1_Jug_attackScore,Team1_Mid_attackScore,Team1_Bot_attackScore,Team1_Uti_attackScore,Team2_Top_attackScore,Team2_Jug_attackScore,Team2_Mid_attackScore,Team2_Bot_attackScore,Team2_Uti_attackScore,Team1_Top_defenseScore,Team1_Jug_defenseScore,Team1_Mid_defenseScore,Team1_Bot_defenseScore,Team1_Uti_defenseScore,Team2_Top_defenseScore,Team2_Jug_defenseScore,Team2_Mid_defenseScore,Team2_Bot_defenseScore,Team2_Uti_defenseScore,Team1_Top_winRates,Team1_Jug_winRates,Team1_Mid_winRates,Team1_Bot_winRates,Team1_Uti_winRates,Team2_Top_winRates,Team2_Jug_winRates,Team2_Mid_winRates,Team2_Bot_winRates,Team2_Uti_winRates,Team1_comboCounts,Team2_comboCounts,Team1_Top_controlScore,Team1_Jug_controlScore,Team1_Mid_controlScore,Team1_Bot_controlScore,Team1_Uti_controlScore,Team2_Top_controlScore,Team2_Jug_controlScore,Team2_Mid_controlScore,Team2_Bot_controlScore,Team2_Uti_controlScore,TeamVictory
0.0,624.047619047619,0.0,1458.758389261745,-139.45714285714286,552.22,502.65,537.38,501.32,220.24,439.75,459.78,508.1,564.03,242.87,762.73,855.84,668.38,532.97,377.48,601.26,695.98,650.2,564.35,501.28,53.63,56.48,49.41,44.14,51.34,40.55,46.34,49.28,55.49,51.98,0.0,0.0,0.7372,0.1449,0.3488,0.5861,0.9627,0.992,0.6875,0.0613,0.496,1.3264,100
0.0,-1169.2222222222222,1130.72131147541,-494.11764705882354,-1138.875,503.1,463.23,558.91,485.34,280.7,472.78,393.16,460.0,478.42,251.09,465.82,847.45,789.95,465.65,425.38,855.81,909.86,586.55,448.0,435.65,43.88,40.79,55.23,47.94,43.28,54.7,43.14,53.9,46.81,45.64,0.0,0.0,1.2789,0.2196,0.928,0.5863,0.8327,0.5369,0.567,0.7818,0.4713,0.465,200
-804.3962264150944,-913.5357142857144,549.2857142857143,-2338.6444444444446,-157.25,541.26,427.98,530.61,612.05,214.22,469.56,384.91,434.54,505.64,303.56,672.31,850.87,475.85,576.31,560.41,775.45,781.74,372.3,478.03,530.06,50.38,50.1,56.78,56.6,53.65,53.32,47.85,54.88,43.84,62.02,0.0,0.0,1.0528,0.6571,1.113,0.3441,1.1193,1.1045,0.5082,1.39,0.1244,0.8095,200
1775.8947368421052,1404.34693877551,71.71428571428571,860.7368421052631,126.38636363636364,537.38,396.17,458.65,505.64,286.8,380.65,517.72,508.1,526.39,278.14,668.38,859.75,609.26,478.03,446.05,617.64,766.1,650.2,524.93,457.08,46.76,45.9,52.34,43.84,52.86,57.85,57.03,49.28,55.1,49.77,0.0,0.0,0.3488,0.5652,0.6712,0.1244,1.5989,0.9926,0.293,0.0613,0.3548,0.899,200
506.0,1185.2727272727273,632.5,115.6328125,0.0,430.68,393.16,558.91,477.06,214.22,516.89,502.65,461.74,505.64,394.25,652.28,909.86,789.95,484.41,560.41,645.05,855.84,886.98,478.03,433.0,51.57,43.14,55.23,50.07,53.65,52.68,56.48,56.06,43.84,32.63,0.0,0.0,0.6772,0.567,0.928,0.5485,1.1193,0.7271,0.1449,0.3409,0.1244,0.8828,100
1847.611111111111,618.1428571428571,0.0,823.3,-1063.7096774193549,488.24,379.02,373.88,340.25,303.56,487.12,459.23,410.39,490.74,171.68,759.18,669.5,444.15,412.31,530.06,727.68,603.85,699.28,522.4,368.84,48.48,42.05,50.0,53.29,62.02,52.87,48.12,44.31,51.85,47.71,0.0,0.0,0.5021,0.9871,0.9365,1.0497,0.8095,1.3279,1.0993,1.2948,0.209,1.6476,100
-2606.714285714286,41.60869565217392,-723.7241379310345,-89.55,33.47058823529412,411.68,479.37,466.62,556.41,200.48,461.74,651.16,489.38,526.39,280.7,794.83,730.85,516.28,592.42,440.22,886.98,660.02,626.21,524.93,425.38,49.04,54.82,51.08,51.48,49.01,57.41,48.17,51.41,55.1,43.28,0.0,0.0,1.3334,0.3422,0.7717,0.1372,0.9728,0.3409,0.5989,0.666,0.3548,0.8327,100
1670.142857142857,-172.85714285714286,0.0,-724.3333333333334,1199.6,520.69,396.7,549.02,450.75,214.18,430.68,417.87,511.59,564.03,487.8,518.69,783.23,554.26,490.01,376.37,652.28,852.11,523.9,564.35,664.78,53.06,52.87,44.31,40.26,56.97,51.57,49.11,48.7,55.49,43.61,0.0,0.0,0.7803,0.9065,0.3259,1.0387,1.2132,0.6772,0.3544,0.4683,0.496,1.5233,100
-676.9166666666666,-203.31578947368425,-502.2,-191.34722222222223,-932.1428571428572,430.68,396.7,428.86,505.64,373.88,537.38,472.78,519.76,429.1,280.7,652.28,783.23,795.69,478.03,444.15,668.38,855.81,474.95,502.95,425.38,51.57,52.87,46.23,43.84,53.44,46.76,52.52,42.61,48.59,43.28,0.0,0.0,0.6772,0.9065,0.6172,0.1244,0.9365,0.3488,0.5369,0.6562,0.3392,0.8327,100
498.4736842105263,-154.94949494949495,-361.2564102564103,-1969.123595505618,-375.15,384.33,396.17,519.76,564.03,200.17,497.03,384.91,508.1,478.68,239.92,665.97,859.75,474.95,564.35,449.22,754.04,781.74,650.2,519.75,273.88,49.19,45.9,42.61,55.49,54.09,49.26,47.85,49.28,48.59,45.16,1.0,0.0,1.081,0.5652,0.6562,0.496,1.1621,0.3157,0.5082,0.0613,0.2799,0.6237,100
