Top_counterScore,Jug_counterScore,Mid_counterScore,Bot_counterScore,Uti_counterScore,diff_TeamAttackScore,diff_TeamDefenseScore,diff_TeamWinRate,diff_TeamComboCount,diff_TeamControlScore,Team1_AttackDefenseBalanceScore,Team2_AttackDefenseBalanceScore,TeamVictory
-569.7692307692307,-8.5,-1597.3157894736842,-1921.459090909091,1425.7142857142858,-26.72800000000001,-85.524,-2.4739999999999966,-1.0,-0.42042,-170.62,-229.416,100
-653.5873015873016,-1107.8695652173913,0.0,-59.96153846153846,-139.45714285714286,10.101999999999975,0.6220000000000709,-0.0859999999999985,0.0,-0.12484,-168.97600000000006,-178.45599999999996,200
-714.3157894736842,-423.875,-472.2413793103448,-1921.459090909091,-464.0,0.5339999999999918,35.23799999999994,0.1379999999999981,0.0,-0.20374,-202.664,-167.96000000000004,200
-455.45454545454544,-472.0740740740741,599.9733333333334,-2338.6444444444446,410.3,-31.714,-62.08600000000001,-5.3160000000000025,-1.0,-0.0823999999999999,-153.022,-183.394,200
640.6842105263158,-1075.0,-420.9836065573771,-597.0528301886792,-301.2,-26.139999999999983,71.98800000000006,-3.2580000000000027,1.0,0.3454,-263.154,-165.02599999999995,200
-913.695652173913,-632.8285714285714,-110.86666666666666,689.2173913043479,390.3043478260869,9.964,71.24400000000003,2.618000000000002,0.0,0.60294,-177.13,-115.84999999999997,100
0.0,-245.439393939394,0.0,804.5714285714286,-372.6,-9.40799999999996,-30.158000000000012,-5.418000000000006,0.0,-0.37332,-163.64199999999994,-184.392,200
616.7058823529412,-1030.6521739130435,-512.8125,328.1818181818182,-548.038961038961,-19.60999999999996,32.91399999999999,-2.073999999999998,0.0,0.0861999999999999,-243.156,-190.6320000000001,200
-1013.68,300.1764705882353,526.7142857142857,82.83091787439614,-132.54901960784315,13.988,-15.794000000000096,-2.039999999999999,0.0,0.0350199999999999,-157.89999999999992,-187.682,200
-402.44444444444446,-1518.7674418604652,-993.5833333333334,-763.2162162162163,-548.038961038961,40.363999999999976,-15.127999999999927,6.452000000000005,0.0,0.1002999999999999,-163.69200000000006,-219.184,100
0.0,-223.0,576.5384615384615,-597.0528301886792,0.0,18.56599999999997,25.21000000000004,-3.2779999999999987,0.0,0.0796399999999999,-143.51799999999997,-136.8739999999999,100
0.0,-248.65217391304347,0.0,72.98058252427184,-625.551724137931,29.055999999999983,-54.95400000000007,1.4699999999999989,0.0,-0.32596,-153.296,-237.30600000000004,100
0.0,624.047619047619,0.0,1458.758389261745,-139.45714285714286,19.855999999999995,36.86599999999999,2.2719999999999985,0.0,-0.1567,-176.71800000000002,-159.70800000000003,100
0.0,-1169.2222222222222,1130.72131147541,-494.11764705882354,-1138.875,47.16599999999994,-48.32399999999996,-2.6140000000000043,0.0,0.2047,-140.59400000000005,-236.08399999999995,200
-804.3962264150944,-913.5357142857144,549.2857142857143,-2338.6444444444446,-157.25,45.582,39.634000000000015,1.1199999999999974,0.0,0.06994,-161.926,-167.87399999999997,200
1775.8947368421052,1404.34693877551,71.71428571428571,860.7368421052631,126.38636363636364,-5.271999999999991,9.103999999999928,-5.466000000000001,0.0,0.1415599999999999,-175.366,-160.99000000000007,200
501.6666666666667,1185.2727272727273,632.5,115.6328125,0.0,-61.428,19.60200000000009,2.3939999999999984,0.0,0.32398,-264.5760000000001,-183.546,100
1847.611111111111,618.1428571428571,0.0,823.3,-1063.7096774193549,-26.841999999999985,-21.370000000000005,2.195999999999998,0.0,-0.2587400000000001,-186.04999999999995,-180.578,100
-2606.714285714286,41.60869565217392,-723.7241379310345,-128.81967213114754,33.47058823529412,-58.96199999999999,-9.783999999999992,0.0120000000000004,0.0,0.1527999999999999,-192.008,-142.82999999999998,100
1670.142857142857,-172.85714285714286,0.0,-724.3333333333334,1199.6,-56.125999999999976,-106.97199999999998,-0.2019999999999981,0.0,0.14908,-118.24400000000004,-169.09000000000003,100
-676.9166666666666,-194.9,-502.2,-191.34722222222223,-932.1428571428572,-20.79200000000003,45.182000000000016,2.837999999999994,0.0,0.1095999999999999,-203.5240000000001,-137.55,100
498.4736842105263,-154.94949494949495,-361.2564102564103,-1969.123595505618,-375.15,-8.836000000000013,6.925999999999931,1.4280000000000044,1.0,0.43434,-189.956,-174.19400000000002,100
0.0,584.516129032258,0.0,-458.5434782608696,111.4074074074074,-76.60399999999998,-78.43799999999999,-0.8960000000000008,0.0,0.46846,-168.57999999999998,-170.414,200
633.65625,-1754.6315789473683,1396.9666666666667,-963.6491228070176,-747.8333333333334,3.365999999999985,27.89799999999991,8.308,-1.0,-0.2238199999999999,-184.474,-159.94200000000006,200
0.0,532.5,-330.0,-679.6666666666666,492.7076923076923,-35.77199999999999,-9.562000000000012,7.810000000000002,0.0,0.5070999999999999,-201.752,-175.54200000000003,100
0.0,-2366.837837837838,348.3888888888889,232.9253731343284,-747.8333333333334,-47.408000000000015,30.80600000000004,4.466000000000001,0.0,0.0026399999999999,-211.80200000000008,-133.58800000000002,100
633.65625,-203.79310344827587,0.0,0.0,329.77777777777777,109.702,93.18399999999995,6.642000000000003,0.0,0.0378399999999999,-192.454,-208.97200000000004,100
0.0,-1100.6,0.0,-597.0528301886792,0.0,111.41799999999996,10.168000000000006,-1.1119999999999948,0.0,-0.40898,-185.64,-286.89,200
-57.35135135135136,-362.32,0.0,-1745.8,-132.54901960784315,16.175999999999988,97.048,-0.1880000000000024,0.0,-0.02406,-255.244,-174.37199999999996,100
