champion1,id1,champion2,id2,combo
Olaf,2,Swain,50,0
Olaf,2,Caitlyn,51,0
Olaf,2,Blitzcrank,53,0
Olaf,2,Malphite,54,0
Olaf,2,Katarina,55,0
Olaf,2,Nocturne,56,0
Olaf,2,Maokai,57,0
Olaf,2,Renekton,58,0
Olaf,2,Jarvan IV,59,0
Olaf,2,Elise,60,0
Olaf,2,Orianna,61,0
Olaf,2,Wukong,62,0
Olaf,2,Brand,63,0
Olaf,2,Lee Sin,64,0
Olaf,2,Vayne,67,0
Olaf,2,Rumble,68,0
Olaf,2,Cassiopeia,69,0
Olaf,2,Skarner,72,0
Olaf,2,Heimerdinger,74,0
Olaf,2,Nasus,75,0
Olaf,2,Nidalee,76,0
Olaf,2,Udyr,77,0
Olaf,2,Poppy,78,0
Olaf,2,Gragas,79,0
Olaf,2,Pantheon,80,0
Olaf,2,Ezreal,81,0
Olaf,2,Mordekaiser,82,0
Olaf,2,Yorick,83,0
Olaf,2,Akali,84,0
Olaf,2,Kennen,85,0
Olaf,2,Garen,86,0
Olaf,2,Leona,89,0
Olaf,2,Malzahar,90,0
Olaf,2,Talon,91,0
Olaf,2,Riven,92,0
Olaf,2,Kog'Maw,96,0
Olaf,2,Shen,98,0
Olaf,2,Lux,99,0
Olaf,2,Xerath,101,0
Olaf,2,Shyvana,102,0
Olaf,2,Ahri,103,0
Olaf,2,Graves,104,0
Olaf,2,Fizz,105,0
Olaf,2,Volibear,106,0
Olaf,2,Rengar,107,0
Olaf,2,Varus,110,0
Olaf,2,Nautilus,111,0
Olaf,2,Viktor,112,0
Olaf,2,Sejuani,113,0
Olaf,2,Fiora,114,0
Olaf,2,Ziggs,115,0
Olaf,2,Lulu,117,0
Olaf,2,Draven,119,0
Olaf,2,Hecarim,120,0
Olaf,2,Kha'Zix,121,0
Olaf,2,Darius,122,0
Olaf,2,Jayce,126,0
Olaf,2,Lissandra,127,0
Olaf,2,Diana,131,0
Olaf,2,Quinn,133,0
Olaf,2,Syndra,134,0
Olaf,2,Aurelion Sol,136,0
Olaf,2,Kayn,141,0
Olaf,2,Zoe,142,0
Olaf,2,Zyra,143,0
Olaf,2,Kai'Sa,145,0
Olaf,2,Seraphine,147,0
Olaf,2,Gnar,150,0
Olaf,2,Zac,154,0
Olaf,2,Yasuo,157,0
Olaf,2,Vel'Koz,161,0
Olaf,2,Taliyah,163,0
Olaf,2,Camille,164,0
Olaf,2,Akshan,166,0
Olaf,2,Bel'Veth,200,0
Olaf,2,Braum,201,0
Olaf,2,Jhin,202,0
Olaf,2,Kindred,203,0
Olaf,2,Zeri,221,0
Olaf,2,Jinx,222,0
Olaf,2,Tahm Kench,223,0
Olaf,2,Viego,234,0
Olaf,2,Senna,235,0
Olaf,2,Lucian,236,0
Olaf,2,Zed,238,0
Olaf,2,Kled,240,0
Olaf,2,Ekko,245,0
Olaf,2,Qiyana,246,0
Olaf,2,Vi,254,0
Olaf,2,Aatrox,266,0
Olaf,2,Nami,267,0
Olaf,2,Azir,268,0
Olaf,2,Yuumi,350,0
Olaf,2,Samira,360,0
Olaf,2,Thresh,412,0
Olaf,2,Illaoi,420,0
Olaf,2,Rek'Sai,421,0
Olaf,2,Ivern,427,0
Olaf,2,Kalista,429,0
Olaf,2,Bard,432,0
Olaf,2,Rakan,497,0
Olaf,2,Xayah,498,0
Olaf,2,Ornn,516,0
Olaf,2,Sylas,517,0
Olaf,2,Neeko,518,0
Olaf,2,Aphelios,523,0
Olaf,2,Rell,526,0
Olaf,2,Pyke,555,0
Olaf,2,Vex,711,0
Olaf,2,Yone,777,0
Olaf,2,Sett,875,0
Olaf,2,Lillia,876,0
Olaf,2,Gwen,887,0
Olaf,2,Renata Glasc,888,0
Galio,3,Twisted Fate,4,0
Galio,3,Xin Zhao,5,0
Galio,3,Urgot,6,0
Galio,3,LeBlanc,7,0
Galio,3,Vladimir,8,0
Galio,3,Fiddlesticks,9,0
Galio,3,Kayle,10,0
Galio,3,Master Yi,11,0
Galio,3,Alistar,12,0
Galio,3,Ryze,13,0
Galio,3,Sion,14,0
Galio,3,Sivir,15,0
Galio,3,Soraka,16,0
Galio,3,Teemo,17,0
Galio,3,Tristana,18,0
Galio,3,Warwick,19,0
Galio,3,Nunu & Willump,20,0
Galio,3,Miss Fortune,21,0
Galio,3,Ashe,22,0
Galio,3,Tryndamere,23,0
Galio,3,Jax,24,0
Galio,3,Morgana,25,0
Galio,3,Zilean,26,0
Galio,3,Singed,27,0
Galio,3,Evelynn,28,0
Galio,3,Twitch,29,0
Galio,3,Karthus,30,0
Galio,3,Cho'Gath,31,0
Galio,3,Amumu,32,0
Galio,3,Rammus,33,0
Galio,3,Anivia,34,0
Galio,3,Shaco,35,0
Galio,3,Dr. Mundo,36,0
Galio,3,Sona,37,0
Galio,3,Kassadin,38,0
Galio,3,Irelia,39,0
Galio,3,Janna,40,0
Galio,3,Gangplank,41,0
Galio,3,Corki,42,0
Galio,3,Karma,43,0
Galio,3,Taric,44,0
Galio,3,Veigar,45,0
Galio,3,Trundle,48,0
Galio,3,Swain,50,0
Galio,3,Caitlyn,51,0
Galio,3,Blitzcrank,53,0
Galio,3,Malphite,54,0
Galio,3,Katarina,55,0
Galio,3,Nocturne,56,0
Galio,3,Maokai,57,0
Galio,3,Renekton,58,0
Galio,3,Jarvan IV,59,0
Galio,3,Elise,60,0
Galio,3,Orianna,61,0
Galio,3,Wukong,62,0
Galio,3,Brand,63,0
Galio,3,Lee Sin,64,0
Galio,3,Vayne,67,0
Galio,3,Rumble,68,0
Galio,3,Cassiopeia,69,0
Galio,3,Skarner,72,0
Galio,3,Heimerdinger,74,0
Galio,3,Nasus,75,0
Galio,3,Nidalee,76,0
Galio,3,Udyr,77,0
Galio,3,Poppy,78,0
Galio,3,Gragas,79,0
Galio,3,Pantheon,80,0
Galio,3,Ezreal,81,0
Galio,3,Mordekaiser,82,0
Galio,3,Yorick,83,0
Galio,3,Akali,84,0
Galio,3,Kennen,85,0
Galio,3,Garen,86,0
Galio,3,Leona,89,0
Galio,3,Malzahar,90,0
Galio,3,Talon,91,0
Galio,3,Riven,92,0
Galio,3,Kog'Maw,96,0
Galio,3,Shen,98,0
Galio,3,Lux,99,0
Galio,3,Xerath,101,0
Galio,3,Shyvana,102,0
