id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
39,Irelia,49.88,49.88,0.0,0.0,0.0,0.0,2448.0,1221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448.0,1221.0
40,Janna,43.94,50.0,25.0,25.0,25.0,25.0,50.0,25.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,66.0,29.0
41,Gangplank,49.81,49.86,0.0,0.0,0.0,0.0,4569.0,2278.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4573.0,2278.0
42,Corki,42.86,42.86,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0
43,Karma,50.18,50.18,0.0,0.0,0.0,0.0,281.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,141.0
44,Taric,53.68,48.91,55.56,55.56,55.56,55.56,184.0,90.0,117.0,65.0,117.0,65.0,117.0,65.0,117.0,65.0,652.0,350.0
45,Veigar,42.22,46.34,0.0,0.0,0.0,0.0,41.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,19.0
48,Trundle,53.38,47.34,53.78,53.78,53.78,53.78,395.0,187.0,1467.0,789.0,1467.0,789.0,1467.0,789.0,1467.0,789.0,6263.0,3343.0
50,Swain,52.99,53.38,0.0,0.0,0.0,0.0,532.0,284.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,536.0,284.0
51,Caitlyn,28.57,66.67,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0
53,Blitzcrank,50.0,50.0,50.0,50.0,50.0,50.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,12.0,6.0
54,Malphite,49.14,49.85,38.1,38.1,38.1,38.1,1316.0,656.0,21.0,8.0,21.0,8.0,21.0,8.0,21.0,8.0,1400.0,688.0
55,Katarina,49.64,49.56,50.0,50.0,50.0,50.0,113.0,56.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,137.0,68.0
56,Nocturne,47.72,47.83,47.72,47.72,47.72,47.72,46.0,22.0,876.0,418.0,876.0,418.0,876.0,418.0,876.0,418.0,3550.0,1694.0
57,Maokai,44.3,47.37,36.36,36.36,36.36,36.36,114.0,54.0,11.0,4.0,11.0,4.0,11.0,4.0,11.0,4.0,158.0,70.0
58,Renekton,49.07,48.95,100.0,100.0,100.0,100.0,1663.0,814.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1667.0,818.0
59,Jarvan IV,50.9,55.0,50.87,50.87,50.87,50.87,40.0,22.0,1378.0,701.0,1378.0,701.0,1378.0,701.0,1378.0,701.0,5552.0,2826.0
60,Elise,51.19,0.0,51.28,51.28,51.28,51.28,3.0,0.0,429.0,220.0,429.0,220.0,429.0,220.0,429.0,220.0,1719.0,880.0
61,Orianna,50.0,50.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0
62,Wukong,50.94,52.0,50.89,50.89,50.89,50.89,1002.0,521.0,5590.0,2845.0,5590.0,2845.0,5590.0,2845.0,5590.0,2845.0,23362.0,11901.0
63,Brand,29.09,57.14,25.0,25.0,25.0,25.0,7.0,4.0,12.0,3.0,12.0,3.0,12.0,3.0,12.0,3.0,55.0,16.0
64,Lee Sin,46.93,41.77,46.95,46.95,46.95,46.95,79.0,33.0,6379.0,2995.0,6379.0,2995.0,6379.0,2995.0,6379.0,2995.0,25595.0,12013.0
67,Vayne,49.29,49.01,60.0,60.0,60.0,60.0,755.0,370.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,775.0,382.0
68,Rumble,48.48,47.13,50.35,50.35,50.35,50.35,785.0,370.0,141.0,71.0,141.0,71.0,141.0,71.0,141.0,71.0,1349.0,654.0
69,Cassiopeia,48.87,48.87,0.0,0.0,0.0,0.0,311.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,152.0
72,Skarner,51.67,56.18,50.78,50.78,50.78,50.78,251.0,141.0,319.0,162.0,319.0,162.0,319.0,162.0,319.0,162.0,1527.0,789.0
74,Heimerdinger,47.44,48.28,33.33,33.33,33.33,33.33,203.0,98.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,215.0,102.0
75,Nasus,45.81,46.59,41.18,41.18,41.18,41.18,807.0,376.0,34.0,14.0,34.0,14.0,34.0,14.0,34.0,14.0,943.0,432.0
76,Nidalee,50.04,53.03,50.02,50.02,50.02,50.02,66.0,35.0,2775.0,1388.0,2775.0,1388.0,2775.0,1388.0,2775.0,1388.0,11166.0,5587.0
77,Udyr,50.54,60.0,50.52,50.52,50.52,50.52,15.0,9.0,1819.0,919.0,1819.0,919.0,1819.0,919.0,1819.0,919.0,7291.0,3685.0
78,Poppy,49.65,53.05,48.89,48.89,48.89,48.89,918.0,487.0,1039.0,508.0,1039.0,508.0,1039.0,508.0,1039.0,508.0,5074.0,2519.0
79,Gragas,52.19,52.9,51.4,51.4,51.4,51.4,3316.0,1754.0,749.0,385.0,749.0,385.0,749.0,385.0,749.0,385.0,6312.0,3294.0
80,Pantheon,48.12,50.36,36.36,36.36,36.36,36.36,693.0,349.0,33.0,12.0,33.0,12.0,33.0,12.0,33.0,12.0,825.0,397.0
81,Ezreal,46.34,44.0,50.0,50.0,50.0,50.0,25.0,11.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,41.0,19.0
82,Mordekaiser,49.34,49.41,49.2,49.2,49.2,49.2,2453.0,1212.0,313.0,154.0,313.0,154.0,313.0,154.0,313.0,154.0,3705.0,1828.0
83,Yorick,46.92,48.08,16.67,16.67,16.67,16.67,626.0,301.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,650.0,305.0
84,Akali,48.47,48.63,33.33,33.33,33.33,33.33,1168.0,568.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1180.0,572.0
85,Kennen,47.8,47.8,0.0,0.0,0.0,0.0,933.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.0,446.0
86,Garen,50.12,50.52,44.0,44.0,44.0,44.0,1534.0,775.0,25.0,11.0,25.0,11.0,25.0,11.0,25.0,11.0,1634.0,819.0
89,Leona,25.0,25.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
90,Malzahar,40.0,40.0,0.0,0.0,0.0,0.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,14.0
91,Talon,47.04,58.82,46.96,46.96,46.96,46.96,51.0,30.0,1857.0,872.0,1857.0,872.0,1857.0,872.0,1857.0,872.0,7479.0,3518.0
92,Riven,50.4,50.41,50.0,50.0,50.0,50.0,2547.0,1284.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,2627.0,1324.0
96,Kog'Maw,40.54,33.33,42.86,42.86,42.86,42.86,9.0,3.0,7.0,3.0,7.0,3.0,7.0,3.0,7.0,3.0,37.0,15.0
98,Shen,53.55,53.58,50.0,50.0,50.0,50.0,2109.0,1130.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2125.0,1138.0
99,Lux,33.33,33.33,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
101,Xerath,75.0,75.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
102,Shyvana,48.86,47.5,49.14,49.14,49.14,49.14,821.0,390.0,993.0,488.0,993.0,488.0,993.0,488.0,993.0,488.0,4793.0,2342.0
103,Ahri,32.56,40.0,0.0,0.0,0.0,0.0,35.0,14.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,43.0,14.0
104,Graves,48.57,46.6,48.6,48.6,48.6,48.6,309.0,144.0,4506.0,2190.0,4506.0,2190.0,4506.0,2190.0,4506.0,2190.0,18333.0,8904.0
105,Fizz,38.24,27.78,50.0,50.0,50.0,50.0,18.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,34.0,13.0
106,Volibear,53.71,50.86,54.02,54.02,54.02,54.02,1929.0,981.0,4376.0,2364.0,4376.0,2364.0,4376.0,2364.0,4376.0,2364.0,19433.0,10437.0
