id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
83,Yorick,45.13,50.54,20.0,20.0,20.0,20.0,93.0,47.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,113.0,51.0
84,Akali,47.5,47.5,0.0,0.0,0.0,0.0,240.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,114.0
85,Kennen,52.55,52.55,0.0,0.0,0.0,0.0,196.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,103.0
86,Garen,46.51,49.35,22.22,22.22,22.22,22.22,308.0,152.0,9.0,2.0,9.0,2.0,9.0,2.0,9.0,2.0,344.0,160.0
89,Leona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,Malzahar,33.33,33.33,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
91,Talon,41.86,46.15,41.82,41.82,41.82,41.82,13.0,6.0,373.0,156.0,373.0,156.0,373.0,156.0,373.0,156.0,1505.0,630.0
92,Riven,46.28,46.67,0.0,0.0,0.0,0.0,480.0,224.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,484.0,224.0
96,Kog'Maw,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0
98,Shen,56.92,58.12,0.0,0.0,0.0,0.0,382.0,222.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,390.0,222.0
99,Lux,100.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
101,Xerath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0
102,Shyvana,43.11,46.41,41.83,41.83,41.83,41.83,237.0,110.0,153.0,64.0,153.0,64.0,153.0,64.0,153.0,64.0,849.0,366.0
103,Ahri,42.86,42.86,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0
104,Graves,46.53,53.66,46.4,46.4,46.4,46.4,82.0,44.0,1082.0,502.0,1082.0,502.0,1082.0,502.0,1082.0,502.0,4410.0,2052.0
105,Fizz,50.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
106,Volibear,52.73,49.68,53.04,53.04,53.04,53.04,308.0,153.0,739.0,392.0,739.0,392.0,739.0,392.0,739.0,392.0,3264.0,1721.0
107,Rengar,52.93,53.98,52.87,52.87,52.87,52.87,113.0,61.0,505.0,267.0,505.0,267.0,505.0,267.0,505.0,267.0,2133.0,1129.0
110,Varus,100.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
111,Nautilus,7.14,16.67,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,14.0,1.0
112,Viktor,50.0,50.0,0.0,0.0,0.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0
113,Sejuani,54.06,52.2,56.36,56.36,56.36,56.36,546.0,285.0,110.0,62.0,110.0,62.0,110.0,62.0,110.0,62.0,986.0,533.0
114,Fiora,48.85,49.05,0.0,0.0,0.0,0.0,950.0,466.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,954.0,466.0
115,Ziggs,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,Lulu,42.86,42.86,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0
119,Draven,29.41,38.46,0.0,0.0,0.0,0.0,26.0,10.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,34.0,10.0
120,Hecarim,44.78,0.0,44.91,44.91,44.91,44.91,4.0,0.0,334.0,150.0,334.0,150.0,334.0,150.0,334.0,150.0,1340.0,600.0
121,Kha'Zix,48.43,100.0,48.41,48.41,48.41,48.41,1.0,1.0,502.0,243.0,502.0,243.0,502.0,243.0,502.0,243.0,2009.0,973.0
122,Darius,49.56,50.88,30.77,30.77,30.77,30.77,735.0,374.0,13.0,4.0,13.0,4.0,13.0,4.0,13.0,4.0,787.0,390.0
126,Jayce,42.24,42.24,0.0,0.0,0.0,0.0,438.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,185.0
127,Lissandra,46.67,46.67,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0
131,Diana,54.82,50.0,54.82,54.82,54.82,54.82,6.0,3.0,1109.0,608.0,1109.0,608.0,1109.0,608.0,1109.0,608.0,4442.0,2435.0
133,Quinn,54.24,54.24,0.0,0.0,0.0,0.0,118.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,64.0
134,Syndra,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
136,Aurelion Sol,33.33,33.33,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0
141,Kayn,43.26,28.57,43.29,43.29,43.29,43.29,7.0,2.0,864.0,374.0,864.0,374.0,864.0,374.0,864.0,374.0,3463.0,1498.0
142,Zoe,75.0,75.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
143,Zyra,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,8.0,4.0
145,Kai'Sa,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Seraphine,33.33,33.33,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
150,Gnar,49.86,50.05,0.0,0.0,0.0,0.0,1057.0,529.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1061.0,529.0
154,Zac,51.49,44.29,51.82,51.82,51.82,51.82,70.0,31.0,384.0,199.0,384.0,199.0,384.0,199.0,384.0,199.0,1606.0,827.0
157,Yasuo,47.31,50.57,0.0,0.0,0.0,0.0,174.0,88.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,186.0,88.0
161,Vel'Koz,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Taliyah,48.48,0.0,48.5,48.5,48.5,48.5,1.0,0.0,633.0,307.0,633.0,307.0,633.0,307.0,633.0,307.0,2533.0,1228.0
164,Camille,48.97,48.31,100.0,100.0,100.0,100.0,623.0,301.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,631.0,309.0
166,Akshan,52.19,52.19,0.0,0.0,0.0,0.0,251.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,131.0
200,Bel'Veth,57.59,40.91,57.67,57.67,57.67,57.67,22.0,9.0,1141.0,658.0,1141.0,658.0,1141.0,658.0,1141.0,658.0,4586.0,2641.0
201,Braum,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Jhin,6.67,33.33,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,15.0,1.0
203,Kindred,57.0,100.0,56.91,56.91,56.91,56.91,7.0,7.0,861.0,490.0,861.0,490.0,861.0,490.0,861.0,490.0,3451.0,1967.0
