,champion1,id1,champion2,id2,combo
184,Olaf,2,Morgana,25,0
185,Olaf,2,Zilean,26,0
186,Olaf,2,Singed,27,0
187,Olaf,2,Evelynn,28,0
188,Olaf,2,Twitch,29,0
189,Olaf,2,Karthus,30,0
190,Olaf,2,Cho'Gath,31,0
191,Olaf,2,Amumu,32,0
192,Olaf,2,Rammus,33,0
193,Olaf,2,Anivia,34,0
194,Olaf,2,Shaco,35,0
195,Olaf,2,Dr. Mundo,36,0
196,Olaf,2,Sona,37,0
197,Olaf,2,Kassadin,38,0
198,Olaf,2,Irelia,39,0
199,Olaf,2,Janna,40,0
200,Olaf,2,Gangplank,41,0
201,Olaf,2,Corki,42,0
202,Olaf,2,Karma,43,0
203,Olaf,2,Taric,44,0
204,Olaf,2,Veigar,45,0
205,Olaf,2,Trundle,48,0
206,Olaf,2,Swain,50,0
207,Olaf,2,Caitlyn,51,0
208,Olaf,2,Blitzcrank,53,0
209,Olaf,2,Malphite,54,0
210,Olaf,2,Katarina,55,0
211,Olaf,2,Nocturne,56,0
212,Olaf,2,Maokai,57,0
213,Olaf,2,Renekton,58,0
214,Olaf,2,Jarvan IV,59,0
215,Olaf,2,Elise,60,0
216,Olaf,2,Orianna,61,0
217,Olaf,2,Wukong,62,0
218,Olaf,2,Brand,63,0
219,Olaf,2,Lee Sin,64,0
220,Olaf,2,Vayne,67,0
221,Olaf,2,Rumble,68,0
222,Olaf,2,Cassiopeia,69,0
223,Olaf,2,Skarner,72,0
224,Olaf,2,Heimerdinger,74,0
225,Olaf,2,Nasus,75,0
226,Olaf,2,Nidalee,76,0
227,Olaf,2,Udyr,77,0
228,Olaf,2,Poppy,78,0
229,Olaf,2,Gragas,79,0
230,Olaf,2,Pantheon,80,0
231,Olaf,2,Ezreal,81,0
232,Olaf,2,Mordekaiser,82,0
233,Olaf,2,Yorick,83,0
234,Olaf,2,Akali,84,0
235,Olaf,2,Kennen,85,0
236,Olaf,2,Garen,86,0
237,Olaf,2,Leona,89,0
238,Olaf,2,Malzahar,90,0
239,Olaf,2,Talon,91,0
240,Olaf,2,Riven,92,0
241,Olaf,2,Kog'Maw,96,0
242,Olaf,2,Shen,98,0
243,Olaf,2,Lux,99,0
244,Olaf,2,Xerath,101,0
245,Olaf,2,Shyvana,102,0
246,Olaf,2,Ahri,103,0
247,Olaf,2,Graves,104,0
248,Olaf,2,Fizz,105,0
249,Olaf,2,Volibear,106,0
250,Olaf,2,Rengar,107,0
251,Olaf,2,Varus,110,0
252,Olaf,2,Nautilus,111,0
253,Olaf,2,Viktor,112,0
254,Olaf,2,Sejuani,113,0
255,Olaf,2,Fiora,114,0
256,Olaf,2,Ziggs,115,0
257,Olaf,2,Lulu,117,0
258,Olaf,2,Draven,119,0
259,Olaf,2,Hecarim,120,0
260,Olaf,2,Kha'Zix,121,0
261,Olaf,2,Darius,122,0
262,Olaf,2,Jayce,126,0
263,Olaf,2,Lissandra,127,0
264,Olaf,2,Diana,131,0
265,Olaf,2,Quinn,133,0
266,Olaf,2,Syndra,134,0
267,Olaf,2,Aurelion Sol,136,0
268,Olaf,2,Kayn,141,0
269,Olaf,2,Zoe,142,0
270,Olaf,2,Zyra,143,0
271,Olaf,2,Kai'Sa,145,0
272,Olaf,2,Seraphine,147,0
273,Olaf,2,Gnar,150,0
274,Olaf,2,Zac,154,0
275,Olaf,2,Yasuo,157,0
276,Olaf,2,Vel'Koz,161,0
277,Olaf,2,Taliyah,163,0
278,Olaf,2,Camille,164,0
279,Olaf,2,Akshan,166,0
280,Olaf,2,Bel'Veth,200,0
281,Olaf,2,Braum,201,0
282,Olaf,2,Jhin,202,0
283,Olaf,2,Kindred,203,0
284,Olaf,2,Zeri,221,0
285,Olaf,2,Jinx,222,0
286,Olaf,2,Tahm Kench,223,0
287,Olaf,2,Viego,234,0
288,Olaf,2,Senna,235,0
289,Olaf,2,Lucian,236,0
290,Olaf,2,Zed,238,0
291,Olaf,2,Kled,240,0
292,Olaf,2,Ekko,245,0
293,Olaf,2,Qiyana,246,0
294,Olaf,2,Vi,254,0
