id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
59,Jarvan IV,48.22,50.16,48.94,53.35,47.86,45.56,31,13,803,393,12,5,4,3,23,7,873,421
60,Elise,46.15,50.16,45.35,53.35,47.86,45.56,1,0,258,117,3,3,0,0,24,12,286,132
61,Orianna,48.53,50.16,38.94,48.32,47.86,45.56,2,0,1,0,863,417,7,3,11,9,884,429
62,Wukong,52.36,53.61,52.26,53.35,47.86,45.56,610,327,3025,1581,47,20,19,12,4,0,3705,1940
63,Brand,47.69,50.16,38.94,53.35,47.86,46.62,4,1,6,4,108,59,53,22,414,193,585,279
64,Lee Sin,46.88,50.16,46.6,53.35,47.86,45.56,30,16,3399,1584,45,24,18,10,17,11,3509,1645
67,Vayne,54.76,55.69,38.94,53.35,54.48,45.56,422,235,1,0,52,31,2221,1210,1,1,2697,1477
68,Rumble,46.76,47.38,38.94,44.84,47.86,45.56,420,199,58,26,310,139,4,4,25,14,817,382
69,Cassiopeia,52.86,57.31,38.94,51.55,47.86,45.56,171,98,0,0,677,349,112,60,1,1,961,508
72,Skarner,48.55,50.16,47.03,53.35,47.86,45.56,121,62,185,87,3,2,0,0,2,0,311,151
74,Heimerdinger,46.78,50.16,38.94,45.27,47.86,45.56,159,80,1,1,201,91,139,68,75,29,575,269
75,Nasus,49.84,50.32,38.94,53.35,47.86,45.56,467,235,27,12,93,47,7,4,18,7,612,305
76,Nidalee,46.8,50.16,46.43,53.35,47.86,45.56,41,22,1318,612,5,3,1,0,11,7,1376,644
77,Udyr,51.17,50.16,51.3,53.35,47.86,45.56,9,4,887,455,3,1,0,0,0,0,899,460
78,Poppy,49.17,51.23,48.21,53.35,47.86,45.56,486,249,585,282,14,8,3,1,53,21,1141,561
79,Gragas,49.37,48.11,50.47,53.94,47.86,45.56,1538,740,426,215,343,185,7,2,161,80,2475,1222
80,Pantheon,50.68,52.83,38.94,53.98,47.86,44.87,424,224,32,16,226,122,10,4,263,118,955,484
