id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
163,Taliyah,51.49,40.0,51.87,51.6,44.12,45.21,10.0,4.0,2358.0,1223.0,1624,838,68.0,30.0,73.0,33.0,4133.0,2128.0
164,Camille,51.17,51.43,27.27,45.83,33.33,50.0,3613.0,1858.0,11.0,3.0,96,44,6.0,2.0,30.0,15.0,3756.0,1922.0
166,Akshan,52.01,51.53,66.67,52.48,51.22,0.0,1271.0,655.0,3.0,2.0,1393,731,41.0,21.0,1.0,0.0,2709.0,1409.0
200,Bel'Veth,49.99,45.77,50.43,37.38,33.33,50.0,142.0,65.0,4842.0,2442.0,107,40,12.0,4.0,8.0,4.0,5111.0,2555.0
201,Braum,48.0,100.0,0.0,0.0,0.0,48.04,2.0,2.0,2.0,0.0,1,0,0.0,0.0,1172.0,563.0,1177.0,565.0
202,Jhin,50.73,60.0,42.86,46.15,50.79,25.0,5.0,3.0,14.0,6.0,39,18,6476.0,3289.0,4.0,1.0,6538.0,3317.0
203,Kindred,51.76,55.0,51.89,35.71,51.38,0.0,20.0,11.0,3540.0,1837.0,28,10,109.0,56.0,1.0,0.0,3698.0,1914.0
221,Zeri,50.48,53.28,43.75,44.79,50.96,35.14,122.0,65.0,16.0,7.0,681,305,8949.0,4560.0,37.0,13.0,9805.0,4950.0
222,Jinx,48.99,0.0,14.29,66.67,49.0,0.0,0.0,0.0,7.0,1.0,15,10,3806.0,1865.0,1.0,0.0,3829.0,1876.0
223,Tahm Kench,51.56,51.36,0.0,31.25,54.15,50.22,1106.0,568.0,1.0,0.0,16,5,591.0,320.0,687.0,345.0,2401.0,1238.0
234,Viego,46.57,48.99,46.35,50.0,45.45,55.56,198.0,97.0,6310.0,2925.0,222,111,11.0,5.0,18.0,10.0,6759.0,3148.0
235,Senna,50.84,50.0,0.0,50.0,46.02,51.07,6.0,3.0,1.0,0.0,4,2,289.0,133.0,6350.0,3243.0,6650.0,3381.0
236,Lucian,48.88,44.44,100.0,45.61,49.4,20.0,171.0,76.0,1.0,1.0,467,213,4630.0,2287.0,5.0,1.0,5274.0,2578.0
238,Zed,47.86,43.96,44.51,49.45,50.0,50.0,91.0,40.0,1148.0,511.0,2619,1295,10.0,5.0,6.0,3.0,3874.0,1854.0
240,Kled,49.43,48.94,33.33,56.72,33.33,33.33,707.0,346.0,3.0,1.0,67,38,3.0,1.0,3.0,1.0,783.0,387.0
245,Ekko,50.28,40.74,51.04,48.83,60.0,20.0,27.0,11.0,2588.0,1321.0,1114,544,5.0,3.0,5.0,1.0,3739.0,1880.0
246,Qiyana,53.33,54.47,53.34,53.38,50.0,33.33,347.0,189.0,1286.0,686.0,1999,1067,8.0,4.0,24.0,8.0,3664.0,1954.0
254,Vi,50.09,75.0,50.09,40.0,0.0,55.56,8.0,6.0,1064.0,533.0,15,6,2.0,0.0,9.0,5.0,1098.0,550.0
266,Aatrox,49.29,49.3,24.0,52.75,28.57,0.0,4473.0,2205.0,25.0,6.0,218,115,7.0,2.0,0.0,0.0,4723.0,2328.0
267,Nami,49.21,0.0,0.0,0.0,0.0,49.35,2.0,0.0,0.0,0.0,12,0,1.0,0.0,5449.0,2689.0,5464.0,2689.0
268,Azir,50.05,50.84,0.0,50.09,45.0,35.71,356.0,181.0,0.0,0.0,3416,1711,40.0,18.0,14.0,5.0,3826.0,1915.0
350,Yuumi,48.72,50.0,50.0,54.55,57.14,48.7,10.0,5.0,2.0,1.0,11,6,7.0,4.0,7297.0,3554.0,7327.0,3570.0
360,Samira,49.64,30.0,100.0,54.17,49.72,0.0,30.0,9.0,1.0,1.0,48,26,3805.0,1892.0,0.0,0.0,3884.0,1928.0
412,Thresh,49.22,28.57,0.0,0.0,38.46,49.34,7.0,2.0,0.0,0.0,1,0,13.0,5.0,2811.0,1387.0,2832.0,1394.0
420,Illaoi,52.67,53.17,0.0,39.39,0.0,0.0,884.0,470.0,0.0,0.0,33,13,0.0,0.0,0.0,0.0,917.0,483.0
421,Rek'Sai,54.39,38.46,54.58,60.0,0.0,0.0,13.0,5.0,1909.0,1042.0,10,6,1.0,0.0,3.0,0.0,1936.0,1053.0
427,Ivern,49.58,60.0,49.24,50.67,25.0,30.56,100.0,60.0,660.0,325.0,150,76,12.0,3.0,36.0,11.0,958.0,475.0
429,Kalista,51.03,38.46,50.0,48.98,51.33,0.0,104.0,40.0,2.0,1.0,98,48,5217.0,2678.0,1.0,0.0,5422.0,2767.0
432,Bard,53.95,39.29,0.0,51.85,100.0,54.13,28.0,11.0,3.0,0.0,27,14,3.0,3.0,2799.0,1515.0,2860.0,1543.0
497,Rakan,52.64,50.0,0.0,55.56,33.33,52.65,4.0,2.0,0.0,0.0,9,5,3.0,1.0,4082.0,2149.0,4098.0,2157.0
498,Xayah,48.53,25.0,100.0,46.15,48.54,100.0,4.0,1.0,1.0,1.0,13,6,2359.0,1145.0,1.0,1.0,2378.0,1154.0
